OP  MNEM  OPERAND  6502  sc02  r65c  w65c    MNEM  OPERAND  w816
67  RMB6  d          -     -     2     2     ADC   [d]        2
68  PLA   -          1     1     1     1     PLA   -          1
69  ADC   #n         2     2     2     2     ADC   #n         2
6A  ROR   A          1     1     1     1     ROR   A          1
6B  -     -          -     -     -     -     RTL   -          1
6C  JMP   (a16)      3     3     3     3     JMP   (a16)      3
6D  ADC   a16        3     3     3     3     ADC   a16        3
6E  ROR   a16        3     3     3     3     ROR   a16        3
6F  BBR6  d,r8       -     -     3     3     ADC   a24        4
70  BVS   r8         2     2     2     2     BVS   r8         2
71  ADC   (d),Y      2     2     2     2     ADC   (d),Y      2
72  ADC   (d)        -     2     2     2     ADC   (d)        2
73  -     -          -     -     -     -     ADC   (d,S),Y    2
74  STZ   d,X        -     2     2     2     STZ   d,X        2
75  ADC   d,X        2     2     2     2     ADC   d,X        2
76  ROR   d,X        2     2     2     2     ROR   d,X        2
77  RMB7  d          -     -     2     2     ADC   [d],Y      2
78  SEI   -          1     1     1     1     SEI   -          1
79  ADC   a16,Y      3     3     3     3     ADC   a16,Y      3
7A  PLY   -          -     1     1     1     PLY   -          1
7B  -     -          -     -     -     -     TDC   -          1
7C  JMP   (a16,X)    -     3     3     3     JMP   (a16,X)    3
7D  ADC   a16,X      3     3     3     3     ADC   a16,X      3
7E  ROR   a16,X      3     3     3     3     ROR   a16,X      3
7F  BBR7  d,r8       -     -     3     3     ADC   a14,X      4
80  BRA   r8         -     2     2     2     BRA   r8         2
81  STA   (d,X)      2     2     2     2     STA   (d,X)      2
82  -     -          -     -     -     -     BRL   r16        3
83  -     -          -     -     -     -     STA   d,S        2
84  STY   d          2     2     2     2     STY   d          2
85  STA   d          2     2     2     2     STA   d          2
86  STX   d          2     2     2     2     STX   d          2
87  SMB0  d          -     -     2     2     STA   [d]        2
88  DEY   -          1     1     1     1     DEY   -          1
89  BIT   #n         -     2     2     2     BIT   #n         2
8A  TXA   -          1     1     1     1     TXA   -          1
8B  -     -          -     -     -     -     PHB   -          1
8C  STY   a16        3     3     3     3     STY   a16        3
8D  STA   a16        3     3     3     3     STA   a16        3
8E  STX   a16        3     3     3     3     STX   a16        3
8F  BBS0  d,r8       -     -     3     3     STA   a24        4
90  BCC   r8         2     2     2     2     BCC   r8         2
91  STA   (d,X)      2     2     2     2     STA   (d,X)      2
92  STA   (d)        -     2     2     2     STA   (d)        2
93  -     -          -     -     -     -     SZTA  (d,S),Y    2
94  STY   d,X        2     2     2     2     STY   d,X        2
95  STA   d,X        2     2     2     2     STA   d,X        2
96  STX   d,X        2     2     2     2     STX   d,X        2
97  SMB1  d          -     -     2     2     STA   [d],Y      2
98  TYA   -          1     1     1     1     TYA   -          1
99  STA   a16,Y      3     3     3     3     STA   a16,Y      3
9A  TXS   -          1     1     1     1     TXS   -          1
9B  -     -          -     -     -     -     TXY   -          1
9C  STZ   a16        -     3     3     3     STZ   a16        3 
9D  STA   a16,X      3     3     3     3     STA   a16,X      3 
9E  STZ   a16,X      -     3     3     3     STZ   a16,X      3
9F  BBS1  d.r8       -     -     3     3     STA   a24,X      4
A0  LDY   #n         2     2     2     2     LDY   #n         2
A1  LDA   (d,X)      2     2     2     2     LDA   (d,X)      2
A2  LDX   #n         2     2     2     2     LDX   #n         2
A3  -     -          -     -     -     -     LDA   d,S        2
A4  LDY   d          2     2     2     2     LDY   d          2
A5  LDA   d          2     2     2     2     LDA   d          2
A6  LDX   d          2     2     2     2     LDX   d          2
A7  SMB2  d          -     -     2     2     LDA   [d]        2
A8  TAY   -          1     1     1     1     TAY   -          1
A9  LDA   #n         2     2     2     2     LDA   #n         2
AA  TAX   -          1     1     1     1     TAX   -          1
AB  -     -          -     -     -     -     PLB   -          1
AC  LDY   a16        3     3     3     3     LDY   a16        3
AD  LDA   a16        3     3     3     3     LDA   a16        3
AE  LDX   a16        3     3     3     3     LDX   a16        3
AF  BBS2  d,r8       -     -     3     3     LDA   a24        4
B0  BCS   r8         2     2     2     2     BCS   r8         2
B1  LDA   (d),Y      2     2     2     2     LDA   (d),Y      2
B2  LDA   (d)        -     2     2     2     LDA   (d)        2
B3  -     -          -     -     -     -     LDA   (d,S),Y    2
B4  LDY   d,X        2     2     2     2     LDY   d,X        2
B5  LDA   d,X        2     2     2     2     LDA   d,X        2
B6  LDX   d,X        2     2     2     2     LDX   d,X        2
B7  SMB3  d          -     -     2     2     LDA   [d],Y      2
B8  CLV   -          1     1     1     1     CLV   -          1
B9  LDA   a16,Y      3     3     3     3     LDA   a16,Y      3
BA  TSX   -          1     1     1     1     TSX   -          1
BB  -     -          -     -     -     -     TYX   -          1
BC  LDY   a16,X      3     3     3     3     LDY   a16,X      3
BD  LDA   a16,X      3     3     3     3     LDA   a16,X      3
BE  LDX   a16,Y      3     3     3     3     LDX   a16,Y      3
BF  BBS3  d,r8       -     -     3     3     LDA   a24,X      4
C0  CPY   #n         2     2     2     2     CPY   #n         2
C1  CMP   (d,X)      2     2     2     2     CMP   (d,X)      2
C2  -     -          -     -     -     -     REP   #n         2
C3  -     -          -     -     -     -     CMP   d,S        2
C4  CPY   d          2     2     2     2     CPY   d          2
C5  CMP   d          2     2     2     2     CMP   d          2
C6  DEC   d          2     2     2     2     DEC   d          2
C7  SMB4  d          -     -     2     2     CMP   [d]        2
C8  INY   -          1     1     1     1     INY   -          1
C9  CMP   #n         2     2     2     2     CMP   #n         2
CA  DEX   -          1     1     1     1     DEX   -          1
CB  WAI   -          -     -     -     1     WAI   -          1
CC  CPY   a16        3     3     3     3     CPY   a16        3
CD  CMP   a16        3     3     3     3     CMP   a16        3
CE  DEC   a16        3     3     3     3     DEC   a16        3
CF  BBS4  d,r8       -     -     3     3     CMP   a24        4
D0  BNE   r8         2     2     2     2     BNE   r8         2
D1  CMP   (d),Y      2     2     2     2     CMP   (d),Y      2
D2  CMP   (d)        -     2     2     2     CMP   (d)        2
D3  -     -          -     -     -     -     CMP   (d,S),Y    2
D4  -     -          -     -     -     -     PEI   (d)        2
D5  CMP   d,X        2     2     2     2     CMP   d,X        2
D6  DEC   d,X        2     2     2     2     DEC   d,X        2
D7  SMB5  d          -     -     2     2     CMP   [d],Y      2
D8  CLD   -          1     1     1     1     CLD   -          1
D9  CMP   a16,Y      3     3     3     3     CMP   a16,Y      3
DA  PHX   -          -     1     1     1     PHX   -          1
DB  STP   -          -     -     -     1     STP   -          1
DC  -     -          -     -     -     -     JMP   [a16]      3
DD  CMP   a16,X      3     3     3     3     CMP   a16,X      3
DE  DEC   a16,X      3     3     3     3     DEC   a16,X      3
DF  BBS5  d,r8       -     -     3     3     CMP   a24,X      4
E0  CPX   #n         2     2     2     2     CPX   #n         2
E1  SBC   (d,X)      2     2     2     2     SBC   (d,X)      2
E2  -     -          -     -     -     -     SEP   #n         2
E3  -     -          -     -     -     -     SBC   d,S        2
E4  CPX   d          2     2     2     2     CPX   d          2
E5  SBC   d          2     2     2     2     SBC   d          2
E6  INC   d          2     2     2     2     INC   d          2
E7  SMB6  d          -     -     2     2     SBC   [d]        2
E8  INX   -          1     1     1     1     INX   -          1
E9  SBC   a16        3     3     3     3     SBC   a16        3
EA  NOP   -          1     1     1     1     NOP   -          1
EB  -     -          -     -     -     -     XBA   -          1
EC  CPX   a16        3     3     3     3     CPX   a16        3
ED  SBC   a16        3     3     3     3     SBC   a16        3
EE  INC   a16        3     3     3     3     INC   a16        3
EF  BBS6  d,r8       -     -     3     3     SBC   a24        4
F0  BEQ   r8         2     2     2     2     BEQ   r8         2
F1  SBC   (d),Y      2     2     2     2     SBC   (d),Y      2
F2  SBC   (d)        -     2     2     2     SBC   (d)        2
F3  -     -          -     -     -     -     SBC   (d,S),Y    2
F4  -     -          -     -     -     -     PEA   a16        3
F5  SBC   d,X        2     2     2     2     SBC   d,X        2
F6  INC   d,X        2     2     2     2     INC   d,X        2
F7  SMB7  d          -     -     2     2     SBC   [d],Y      2
F8  SED   -          1     1     1     1     SED   -          1
F9  SBC   a16,Y      3     3     3     3     SBC   a16,Y      3
FA  PLX   -          -     1     1     1     PLX   -          1
FB  -     -          -     -     -     -     XCE   -          1
FC  -     -          -     -     -     -     JSR   (a16,X)    3
FD  SBC   a16,X      3     3     3     3     SBC   a16,X      3
FE  INC   a16,X      3     3     3     3     INC   a16,X      3
FF  BBS7  d,r8       -     -     3     3     SBC   a24,X      4
