"step","CLKx4","Q","E","#VA","#IO","#INT","#ACK","#HOLD"
"67","1","0","1","0","0","0","1","1"
"68","0","0","1","0","0","0","1","1"
"69","1","0","1","0","0","0","1","1"
"70","0","0","1","0","0","0","1","1"
"71","1","0","1","0","0","0","1","1"
"72","0","0","1","0","0","0","1","1"
"73","1","0","1","0","0","0","1","1"
"74","0","0","1","0","0","0","1","1"
"75","1","0","1","0","0","0","1","1"
"76","1","0","1","0","0","0","1","0"
"77","0","0","1","0","0","0","1","0"
"78","1","0","1","0","0","0","1","0"
"79","0","0","1","0","0","0","1","0"
"80","1","0","1","0","0","0","1","0"
"81","0","0","1","0","0","0","1","0"
"82","1","0","1","0","0","0","1","0"
"83","0","0","1","0","0","0","1","0"
"84","1","0","1","0","0","0","1","0"
"85","0","0","1","0","0","0","1","0"
"86","1","0","1","0","0","0","1","0"
"87","0","0","1","0","0","0","1","0"
"88","1","0","1","0","0","0","1","0"
"89","0","0","1","0","0","0","1","0"
"90","1","0","1","0","0","0","1","0"
"91","0","0","1","0","0","0","1","0"
"92","1","0","1","0","0","0","1","0"
"93","0","0","1","0","0","0","1","0"
"94","1","0","1","0","0","0","1","0"
"95","0","0","1","0","0","0","1","0"
"96","1","0","1","0","0","0","1","0"
"97","0","0","1","0","0","0","1","0"
"98","1","0","1","0","0","0","1","0"
"99","0","0","1","0","0","0","1","0"
"100","1","0","1","0","0","0","1","0"
"101","0","0","1","0","0","0","1","0"
"102","1","0","1","0","0","0","1","0"
"103","1","0","0","1","0","1","0","0"
"104","1","0","0","1","1","1","0","0"
"105","0","0","0","1","1","1","0","0"
"106","1","0","0","1","1","1","0","0"
"107","0","0","0","1","1","1","0","0"
"108","1","0","0","1","1","1","0","0"
"109","0","0","0","1","1","1","0","0"
"110","1","0","0","1","1","1","0","0"
"111","0","0","0","1","1","1","0","0"
"112","1","0","0","1","1","1","0","0"
"113","0","0","0","1","1","1","0","0"
"114","1","0","0","1","1","1","0","0"
"115","0","0","0","1","1","1","0","0"
"116","1","0","0","1","1","1","0","0"
"117","1","0","0","1","1","1","1","0"
"118","0","0","0","1","1","1","1","0"
"119","1","0","0","1","1","1","1","0"
"120","0","0","0","1","1","1","1","0"
"121","1","0","0","1","1","1","1","0"
"122","0","0","0","1","1","1","1","0"
"123","1","0","0","1","1","1","1","0"
"124","0","0","0","1","1","1","1","0"
"125","1","0","0","1","1","1","1","0"
"126","0","0","0","1","1","1","1","0"
"127","1","0","0","1","1","1","1","0"
"128","0","0","0","1","1","1","1","0"
"129","1","0","0","1","1","1","1","0"
"130","0","0","0","1","1","1","1","0"
"131","1","0","0","1","1","1","1","0"
"132","1","0","0","1","1","1","1","1"
"133","0","0","0","1","1","1","1","1"
"134","1","1","0","0","1","1","1","1"
"135","0","1","0","0","1","1","1","1"
"136","1","1","1","0","1","1","1","1"
"137","0","1","1","0","1","1","1","1"
"138","1","0","1","0","1","1","1","1"
"139","0","0","1","0","1","1","1","1"
"140","1","0","0","1","1","1","1","1"
"141","0","0","0","1","1","1","1","1"
"142","1","1","0","0","1","1","1","1"
"143","0","1","0","0","1","1","1","1"
"144","1","1","1","0","1","1","1","1"
"145","0","1","1","0","1","1","1","1"
"146","1","0","1","0","1","1","1","1"
"147","0","0","1","0","1","1","1","1"
"148","1","0","0","1","1","1","1","1"
